,result
1709,"['Compact Size:', 'Easy to carry it in your hand,', 'pocket or handbag when on the go', '4.5in', '9.7in', '7.7in', '3.4in', '2.5in']"
1710,['8inch']
1711,"['197 Servings', '99Servings', '66Servings', 'Per 1oz Bottle', 'Per 1oz Bottle', 'Per 1oz Bottle', '5 Drops Per Serving', '10Drops Per Serving', '15Drops Per Serving', 'Amber Naturalz', 'Forpet', 'VIBACTRA', 'Immune', 'Support', 'VibactraIngredients', 'Active Ingredients per mL', 'Proprietary Blend ofMustard Seed,Black Seed.Olive Leaf', 'Pau D`arco Bark, Clove, Citrus Blend', ""(grapefruit and lemon))456 mg'"", 'An herbal blend designed to', 'help promote a healthy system', 'for overall health.', 'Inactive Ingredients', 'Concord Grape Wine,Filtered Water,', 'Net Weight:1 fl oz 30 ml)', 'Grain Alcohol USP 19-24% by volume']"
1712,"['+', 'BL-4C950mAh3.7V3.5Wh', 'Rechargeable Li-ion battery.Use specified Original charger only', 'Must be dlsposed of properly.May explode if damaged or', 'disposed of in fire.Do not short-circuit.Do not disassemble.', 'MADE IN CHINA', '11CP5/34/S0', '4955403441622300189:0670704', 'CE']"
1713,"['33', 'Rechargeable Li-ion Battery Pack', 'Model:SCUD-MFB260001', 'RatedDC 3.8V 2600mAh 9.9W', 'Manufactured in China', '1 YEAR', 'Baltery cell made in Japan', 'M-nufactured by SCUD (FUJIA', 'ACAUTION:Risk of explosion i', 'an incorrect type.Dispose ot used', 'to local ordinanace and/or regulation', 'Do not', 'dispose', 'in fire', 'Donot', 'disassemble', 'or modify', 'Do not', 'short', 'circuit', 'RSC:BTKC000033MV', '5703160013', 'expose', 'to high', 'temperature']"
1714,"['GOPURAM', 'Y.V.S.', '138.AUDIAPPA STREET,CHENNAI-600', '001', 'MANJAL KUMKUMAM', 'Customer CarePh 044-25293942', 'E-mail: yvs@gopuramproducts.com', 'Shop online@www.gopuramproducts.com', 'NETTWT.', '200g', 'MFG.DATE', 'O10 RE', 'MAX RETAIL PRICE', 'INCLUSIVE OF ALL TAXES', 'RS:65.']"
1715,"['Beads size:8*10MM', 'Weight:18g', '56CM']"
1716,"['BYREDO', 'GYPSYWATER', 'BRAUTE', 'Bodyw', 'ANDORK', ""IT'S NOTT"", 'Andon', 'lorhea', 'BRAUTE', 'ANDORHEAI', 'BRAUTE', 'ENTECAORDE', 'ANDORHEAL', '20', 'BRAUTE', 'ANDORHEAL', 'Moisturize', 'Andorhe', 'Repair and', 'Andorheal', 'BRAUTE', 'Andorheal', 'ANDORHEAL', 'Andorhea']"
1717,"['60WC TOC CABLE', 'UP TO 60W', 'UP TO480MB/S', 'ANTI-ABRASION', 'NYLON BRAIDED MATERIAL', 'FAST CHARGE', 'TRANSFER SPEED', 'Product Name:USB C to USB C Cable', 'Size:2M/6.6FT', 'Product Model:0902', 'Product Materials:Nylon braided', 'Manufaturer:SANYUANHE ELECTRONIC TECHNOLOGY CO.,LTD', 'Address: Room 510,block e, taojindi building,Dalang street,', 'Longhua District, Shenzhen city,Guangdong province,China', 'Email:xyzyzsup@gmail.com', 'CE', 'ECIREP', 'Name:Like Sun GmbH', 'X001FBI0XF', 'Add:Planckstr.59,45147 Essen', 'USB C auf USB C Kabel XY..', 'Telefon:+4947139156605', 'USB-C Ladegerate-Grau', 'E-mail: ec-connection@web.de', 'New', 'Made in China', 'G0902-GY']"
1718,"['Adhesive', 'No drilling No wall damage', '40 LBS', 'Hold to 40LBS of weight']"
1719,['15.5CM/6.1IN']
1720,['none']
1721,"['100% Full Copper Coil, Japanese Dual Ball Bearing', 'Motor for Long-time Operation', 'INLINE DUCTFANSPECIFICATION', '4inch/100mm', '5inch/125mm', '6inch/150mm', '8inch/200mm', 'Votage', '230V/50Hz', '230V/50Hz', '230V/50Hz', '230V/50Hz', 'Mode', 'High', 'Low', 'High', 'Low', 'High', 'Low', 'High', 'Low', 'Current(A)', '0.12', '0.11', '0.14', '0.13', '0.22', '0.19', '0.53', '0.52', 'Power(W)', '26', '23', '33', '28', '54', '24', '128', '123', 'Speed(RPM)', '2200', '1850', '2250', '1850', '2250', '1850', '2450', '1950', 'Air Flow(m2/h)', '198', '165', '285', '250', '530', '410', '840', '690', 'Air Pressure(Pa)', '156', '131', '159', '106', '300', '240', '352', '274', 'Noise(dB)', '31', '26', '31', '26', '33', '29', '63', '55', 'Size(mm)', '305*215*180', '280*210*200', '302*240*210', '320*280*280']"
1722,"['37cm', '33cm', '30.2cm']"
1723,['60CM']
1724,"['Insulated', 'Leak-Proof', 'BPAFree', '21.5cm', 'OMIE', '250ml', '19cm', '1400ml']"
1725,"['4.1""', '4.5""', '4""', '6.28""']"
1726,"['44cm', 'D20', 'TECIDO', 'COURVIN', '94cm', 'TECIDO']"
1727,"['/', 'Just Connecting your Headphone', 'and ListentoMusicAnytime', 'Stable Connection']"
1728,"['NAVITAS', 'BARLEY', 'GRASS', 'POWDER', 'HOW TOUSE', '3.', 'TAKEIBAGOF', 'Pour about 30 ml of', 'Thaw, add ice if you', 'PRODUCT,POUR IT', 'boiling water', 'want and enjoy', 'INTOA CUP']"
1729,"['17cm', '22.5cm']"
1730,"['STARBUCKS', 'VIAINSTANT', 'DARK ROAST COFFEE', 'ITALIAN ROAST', '100%ARABICA', 'INSTANT AND MICROGROUND COFFEE', '8-0.11 0Z/3.3 gPACKETS', 'NET WT 0.93 OZ/26.4 g', '8', 'PACKETS']"
1731,"['12cm', 'SPECIFICATION', '100cm', 'Height', 'Adjustable', 'From', '48To135cm', '45cm', '28cm', '80cm', 'Voltage:220V', 'Material:Aluminum+Iron+ Crystal', 'Wattage:Max 40W', 'Finished: Gold', 'Lamp Socket:E14', 'Dimming:Bulb not include']"
1732,"['7.35m', '1.5m', '50cm', '4 cm', 'Shatterproof', '12+1 LED BuIbs', '6cm', 'E12 Base', '0.6w', '0.6W per Bulb', 'Upgrated Solar Panel']"
1733,"['DC-5V-2Amps for 1 Meter strip', 'DC-5V-5Amps for2 Meter strip', 'DC-5V-10Amps for 3 Meter strip', 'DC-5V-15Amps for4 Meter strip', 'DC-5V-20Amps for 5 Meter strip', 'GN', 'GND', 'GND', 'GNDO', 'Dout', 'Din', 'Dout', '+5V', '.5V', '5V', 'E', 'RESET', 'R', 'EEE', 'OX1', 'DIGITAL PUM=~', 'ICSP2', 'OUNO', 'TXE', 'ON', 'RX', 'Arduino', 'POVER', 'ANALOG I']"
1734,"['ALL NATURALE', 'Acorn', 'NO ARTIFICIAL COLOUR', 'FOR THE LOVE OF PETS', 'Alfalfa Hay', 'HIGH FIBER CONTENT', 'HIGH IN CALCIUM', 'Naturally Dried', 'AIDS DIGESTION', 'DUST FREE', 'Natural High fiber food', 'for Rabbits, Pigs & other small Animals', 'Manufactured & Marketed by:', 'Net wt: 1400 gm', 'Apex Agro Industries, S/21, Subh Complex,', 'Near Rajasthan Hospital, Shahibaug,', 'MRP : 700/-(mc ofa es?', 'Ahmedabad, Gujarat 380004, India', 'Nutrition Facts:', 'Customer care:', 'PKD :', 'For Any Queries, Feedback Or Product Related', 'Crude fiber', ': 28-34%', 'Information. Contact Us On', 'Best Before 12 Months From', 'Crude Protein : 13-19%', 'Mail: support@acorn.pet', 'The Date Of Packging', '8906123"" 580585""', 'Calcium', ': 1.2-1.4%']"
1735,"['Material:', 'Solid wood + iron + glass', 'Light source:LED*4', 'Voltage:AC85-265V']"
1736,"['Girth:40cm+5cm', 'Girth:41cm+5cm', 'Material:Alloy', 'Weight:24g']"
1737,"['2in1', 'braided fabric cord', 'O', '10.2"" (26 cm)', '5.1""', '(13 cm)', '14.4""', '(36.7 cm)', 'I', '5.9""', '4.3""', '(15 cm)', '(11 cm)', '1', 'cord length:', '6 ft(1.8 m)']"
1738,"['1.3 Inch', '4.7 Inch', '1.4 Inch', '10.6 Inch', '11 Inch', '1Litre Water', 'Bottle', '7.5 Inch', '3.4 Inch', '7.5Inch']"
1739,"['Motorhome awning LED light (5 lamp beads)', 'White', 'DC24V universal', 'Power8w', 'Light color is white.', 'h4cm', '20.5cm', 'w4cm']"
1740,"['3', 'Position', 'Seat', 'Recline', '0 -36M', 'Capacity Upto', '30 KGS']"
1741,"['11WA193000K E26', 'AC100-130V60Hz', 'FC', '11W A193000KE26', '11WA193000KE26', '11WA193000KE26', 'AC100-130V60Hz', 'AC100-130V60Hz', 'AC100-130V60Hz', 'FC', 'FC', 'FC']"
1742,"['WeiHeng', '3Kgx0.1g', 'UNIT', '50.6']"
1743,"['37-44.25"" H', '24.5-27""D', '25.5"" W']"
1744,"['Colour', 'Blue', 'Material', 'Wood', 'Item Weight', '970.0 Grams', 'Frame Material', 'Wood,Cotton']"
1745,"[""GIMBERO IS THE GINGERLY DRINK THAT'S ALCOHOL-FREE,"", 'S1', 'ORGANIC, ALL-NATURAL AND FILLED WITH FIRE AND FLAVOUR', 'VORGEBRAUCHSCHUTTELN', '30 ML GIMBER', '200ML SPRUDELWASSER', 'SWEETLILLY', 'AGITEZ AVANT UTILISATION', '30ML DE GIMBER', ""200ML D'EAU PETILLANTE"", 'Nahrwerte pro', 'Informations nutritionnelles pour', '100 ml', '30 ml', 'The sip of summer you need', ""Everything about Lily our founder's daughter is sweet And"", 'Energie / Energie', '481 kJ', '144,3 ', 'oh boy, does she love her Lilikoi*So much so that we had to', 'T15.1 kcal34,5 kcal', 'name this concentrate of tropical passion fruit juicy pineapple', 'The original', 'Fett / Lipides', '<0,12g', '<0,04g', 'vibrant turmericspicy gingerSweet Lill.Start pouring fora', 'Davon gesattigte Fettsauren /', 'GIm3ER', '<0,05g', '0,02g', 'sip of summer.**Hawaiian for passion fruit.', 'Dont acides gras satures', 'Kohlenhydrate / Glucides', '27,7 g', '8,31g', 'Zutaten: 33% Ingwer*, Rohrzucker*, Passionsfrucht*, Wasser,', 'Davon Zucker / Dont sucres', '24,8 g', '7,43 g', 'Ananas*,Zitrone*,Kurkuma*(*aus biologischem Anbau)', 'EiweiB/Proteines', '0,68 g', '0,2 g', 'Ingredients : 33% de gingembre*, sucre de canne*, fruit de Ia', 'THE ALCOHOL-FREE DRINK WITH A KICK', 'Salz / Sel', '0,02 g', '0,01g', 'passion*,eau, ananas*,citron*,curcuma*(*orgine bio)', 'Mindestens haltbar bis: siehe Flasche', '+8', 'This bottle contains', 'A consommer avant : voir bouteille', '+/-8 servings.', 'BIO-INGWER-KONZENTRAT', 'WWW.GIMBER.COM', 'BE-BIO-01', 'MIT PASSIONSFRUCHT,ANANAS UND KURKUMA', 'EU/Nicht-EU Landwirschaft', 'EU/non-EU agriculture', 'VEGAN', 'NACH DEM OFFNEN GEKUHLT LAGERN', 'CONCENTRE DE GINGEMBRE BIOLOGIOUE', '(4C)UND INNERHALB VON 30 TAGEN', 'AVEC FRUIT DE LA PASSION, ANANAS ET CURCUMA', 'VERBRAUCHEN', 'UNE FOIS OUVERTE,SE CONSERVE AU', 'REFRIGERATEUR4C)JUSOUA30JOURS', '5430003091081', ""LILIKOI,ANODETOOURFOUNDER'SDAUGHTER"", '0%ALC200ML', 'A TROPICALSPLASHOFGINGER,PASSIONFRUIT & PINEAPPLE']"
1746,"['DETAILS', 'Paint thickened metal', 'Black lacquered iron chain', 'vintage wood', 'Built-in light source (support 85~265V voltage)']"
1747,"['Rastar', 'LITHIUM IONBATTERYPACK', 'PS-42B', 'RBRC', '3.7V 1400mAh', '5.18Wh', 'TM', '7.800', 'Li-ion', '822']"
1748,"['BULT', 'STRONG', 'OTHERS', 'SportsTrail', 'VS', ' THICKER AND STRONGER METAL', '- BIGGER DIAMETER', ' LONGER LIFETIME', 'HOLDS', '850 Ib']"
1749,"['11.8""', 'Adjustable Height', '39""', '34.6""', '11.8""', 'Product Specification', 'G', '110-120V', 'E26Base', 'V']"
1750,"['2.36in', '6cm', '4.72in/12cm']"
1751,"['86', 'Ime']"
1752,"['PRODUCT SIZE', '8.5""', '3""', 'Adjustable', '20.8- 26.4""', '20.8""']"
1753,"['12', 'OZ']"
1754,"['KEPLERBROOKS', 'Heighl adjuslable armsel', 'Aoljuslable Heighl', 'PU Padded for comfort', 'Adjust the Height of the Chair', '3608wivel', 'Class y Cerlitiel Gas Pislon', 'Revolve 360 with the chair without moving the', 'Upto 2L gas lift strokes,lasts over 10+ years', 'chair from its spot', 'tasy and noise free movemenl', 'Holdls easily Uplo 130 kgs', '60 mm Nylon Dual Castor Heavy Duty Alloy Wheels', 'Sturdy Premium Grade Heavy Duty Chrome Base']"
1755,"['PRODUCTSIZE', 'Contains', 'magnets', '1.2IN/3CM', 'Acrylic viscose', '1.1IN/2.8CM', 'Magnets', 'Acrylic viscose', '0.7 IN/1.7CM']"
1756,"['M3A', 'JAPAN', 'MADEIN.', 'CURVE240', '\\OUTBACK']"
1757,"['13cm', '25.5cm', '6.5cm']"
1758,"['7.2in / 18.5cm', '10.4in / 26.5cm', '2.7in / 7cm']"
1759,"['19.7""', '22.4""', '15.7""']"
1760,"['15.5cm', '20.5cm', '36cm', '26cm']"
1761,"['wild e.', 'NATURAL', 'organlc', 'SWEETNESS', 'WITH VEGETABLE GLYCERIN', 'NO', 'SUGAR,', 'ALCOHOL', 'wild e.', 'PREMIUM', 'QUALITY', 'organlc', 'LIQUID DROPS', 'SLIPPERY ELM', 'By utilizing vegetable glycerin,', 'SA', 'our alcohol-free tinctures', 'Alcohol-free', '2floz', 'Dietary supplement', 'deliver a naturally sweet taste', 'without the addition of sugar.']"
1762,"['PRODUCTINFO', '78.4""', '68.5""', '13.8""', ""41.7'"", 'Weight', 'Dimensions', 'Material', 'L78.4*W41.7*H68.5inch', 'Metal', '330 lbs (upper)LBS', '440 lbs(lower) LBS']"
1763,"['90cm', '35.43in', '20cm/7.87in', '70cm/27.56in']"
1764,"[' SUGGESTED USE', 'Supplement Facts', 'GLOBAL HEALING', 'Shake bottle well.Take 1 ml twice', 'Serving Size: 1 ml', 'Since1998', 'daily or as recommended by your', 'Servings Per Container: About 60', 'healthcare provider.', 'Amount', 'RAW HERBALEXTRACT', 'Per Serving', 'Ginseng is a powerful blend of five', 'Ginseng', 'organic adaptogenic ginseng herbs', 'Proprietary Blend', '1 ml*', 'used to support energy,vitality,and a', 'Organic Korean Ginseng (root)', 'healthy response to stress.', 'Organic Siberian Ginseng (root)', 'Highly Bioavailable Blend', 'Organic Indian Ginseng/Ashwagandha', 'Vegan Gluten Free', '(root), Organic Peruvian Ginseng/Maca', 'No Animal Testing', '(root), Organic Five Leaf Ginseng/', 'NON', 'Jiaogulan (leaf)', 'USDA', 'GMO', 'Project', '*Daily Value (DV) not established', 'evaluated by the Food and Drug', 'ORGANIC', 'VERIFIED', 'Administration.This product is', 'Other Ingredients:organic vegetable', 'nongmoproject.org', 'not intended to diagnose,treat,', 'glycerin,triple-distilled biophotonic', 'cure, or prevent any disease.', 'structured water,ormus supercharged', 'EnergyVitality', 'minerals', 'Global Healing Center,LLC.HoustonTX,77055', 'GIS-20Z-21v01', 'Certified Organic by Natural Food Certifiers', 'Adaptogen', 'See bottle for best-by date and lot information', '1183903023', '2', 'globalhealing.com 1.800.476.0016', '2FLOZ(59.2ML)DIETARYSUPPLEMENT']"
1765,"['G17', '839', '100', 'V09', 'RO4', '713', 'GO']"
1766,"['9.5cm', '60gm', '20.5cm', '35.5cm', '6. 1cm', '26. 3cm', '30.5cm']"
1767,"['Hi20cm', 'Lioocm*W2ocm']"
1768,"['Modern LED Ring Light Features', '7.9""/200mm', '1""/25mm', '47.2/1.2m', 'Adjustable', '15.7""/', '23.6""/', '400mm', '600mm', '11.8/', '19.7""/', '300mm', '500mm', '(Wattage 58 Watt', '(StyleModern', '(Voltage)', '85-265Volt', '(Light SourceLED', 'Adjustable Length47.2""Max', '(Material) Crystal & Stainless Steel']"
1769,"['BEMA Schwimmlernhilfe', 'BEMA', 'Schuinmy', '11-30 kg', '1-6 Jahre/', 'years', 'BEMA', 'BEMA', 'Shuinmfligel', 'FRED', '13602', 'FREI', 'SCHADSTOFF', 'GEPROFT', 'TOVRhoinland', 'ZERTIFIZIERT', '007383136025', 'ID0000018312']"
1770,"['11cm', '9cm', '14cm']"
1771,"['BADIA', 'Lemon Pepper', 'Pimienta Limon', 'U', 'Gluten', 'Free', 'Net Wt. 6.5 oz. (184.3 g)']"
1772,"['174', '23.5', '120', 'Max35-Min', '50', '35+2/-1', 'M32X1.5-6g', '2-G3/8-19']"
1773,"['Weight: 0.14 Kg', '30', '4 INCH', '3.1INCH', '4.5 INCH']"
1774,"['62 mm/ 2.4 inch', 'SE', 'E', '60', '86 mm /3.4 inch', '75 mm /2.9 inch']"
1775,"['GTS', 'ENLIGHTENED', 'Organic', 'Raw', 'KOMBUCHA', 'reawaken', 'rethink', 'enzymes', 'S+probio', 'rebirth', 'GINGERADE']"
1776,"['G40 Outdoor String Lights', 'YIJA', 'eHeprnaEvepyaia', 'A+', 'ModelCMC-O30XA', 'CCT:2700K Warm White', 'Bulb Quantity:30+3 LED', 'Input:220-240V', 'Total Watt:30W,(1W/Bulbt)', '30kWh/1000h', 'MADE IN CHINA']"
1777,"['37mm', '6W', '480Lm', 'CRI', '80+', 'B22', '220-240V', '360', 'Warm Light', 'No Dimmable', '98mm', 'ExtroStor', 'B22 Base', 'Easy Installation']"
1778,"['1P66', '50W']"
1779,"['Yes', 'Compatible with', 'NV800', 'NV800W', 'NV801', 'NV801Q', 'NV803', 'UV810', 'HV380', 'HV381', 'HV382', 'No', ""DON'T FIT"", 'NV200', 'NV201', 'X', 'NV202', 'LZ600', 'XXXX', 'LZ601', 'LZ602', 'IC160', 'IC162', 'NV830', 'NV831', 'NV835', 'UV700 series']"
1780,"['12 inch', '15inch', '17 Inch', '36-45 Inch', '22-30 Inch', 'Max.Weight', 'Capacity:', '3311b', ' 16 Inch']"
1781,"['KOREANISCHES SCHONHEITSGEHEIMNIS', 'Die koreanische Schonheitsindustrie ist bekannt fur ihre innovative', 'und hochwirksame Hautpflege', 'Collagen', 'Collagen', 'Collagen', 'Collagen']"
1782,"['24""', '17.25""', '32.75""', '19', 'Item is individually made. Size may vary slightly']"
1783,"['SHOOT', 'MAX USER WEIGHT', '0:22', 'HOOHS HIH', 'ABSORPTION', 'FOOT I', 'MORE']"
1784,"['3', 'OR', '109', 'AINSLEY', 'CREAMOF', 'WILD', 'MUSHROOM', 'CUPSOUP', 'with garlic,parsley and', 'R', 'groundblack pepper', 'HAR', 'Each225mlserving contains', 'Energy', 'Fat', 'Saturates', 'Sugars', 'Salt', '458kJ', '3.3g', '1.6g', '1.5g', '1.5g', 'Serving Suggestion', '109kcal', '75ge', '8', '25', ""ofanAdutt'sReferenceintake"", 'Typicalvalues per 100ml:Energy 197kj/47kcal']"
1785,"['157cm', '115', 'KG', 'Max User Wt.', 'TDA-230M', '125cm']"
1786,"['Battery Specifiction', 'High quality Long life', 'Type', 'Li-ion', 'Voltage', '18/20V', '5.5AH', 'Capacity', '5500mAh']"
1787,"['55 cm', '115 cm', 'cm']"
1788,"['3', 'Separate Color Temperature Key', '3000k', '4000k ', '6000k', 'Easy to Control', 'Light Memory Function', '18W Integrated LED Light', 'EWORKING', 'PARTY', 'READING', 'SLEEPING']"
1789,"['13cm/5.1in', '20cm/7.9in', '4.5cm/1.8in']"
1790,"['Product Information', 'Item Name: Eagle Flag', 'Size:3x5ft', 'Material: 1oo% Durable Polyester', '5Feet', 'POW-MI', 'Feet']"
1791,"['Heavy Insulated Walls Allows,', 'Cover Closes with A Zipper To Make', 'This Cooler Will Keep Your', 'Sure To Keep Food Cold Or Warm', 'Freezer And Cooler Items Cold', 'For Hours.', '3 Outside Mesh Pockets', 'To Store Smaller Items.', 'Easy and Convenient To Use With', 'Extra Tough 600D Material', 'The Both Sides Carry Handles', 'and Stitching']"
1792,"['90 cm35.4', '205 cm 80.7']"
1793,"['Mini LED Downlight', 'Product numberTMSS-Y1W-15', 'Power:1W', 'Luminousflux:95Lm', 'Color>80Ra', 'Beam angle:30or 120', 'Light type:LED', 'Input voltage:DC12V', 'Colortemperature:3000K(ww)4000K(W)6000K(CW)', 'Other light color:Red,Blue,Green', 'Light body material: aluminum', 'Operating temperature:-25~+45', 'Protection:IP65', '25', 'Life:35000h', '15', '14', 'Unit:mm']"
1794,"['Satellitenanschluss', 'Antennenasnchluss', '1 x LAN RJ-45', '2 x USB', '3 x HDMI@ 2.1', 'Kopfhoreranschluss', 'Digital Audio Out.', 'Stereo-Lautsprecher-Boxen', '2 x 10 W RMS', 'VESA (100 x 100 mm)']"
1795,"['15cm / 5.9inch', '78cm/30.7inch', 'Lamp+', 'Material: Metal + Acrylic', 'DHC', 'Power:LED 66W', 'One lamp with two', 'functionsperfectly explains', 'the style ofhome life', 'Wind Speed: 6 Gears', 'Dimmable', 'Space: 10-20 m']"
1796,"['KESSER', '-HOME-', 'EIGENSCHAFTEN', 'Mit Piezozundung', '+', 'Schnell und sicher', 'entflammen', 'Mit', 'Effizientes Heizen', 'Max. 4,2 kW', 'Piezo-', 'Warmebestrahlung', 'zundung', 'Hochwertiger Reflektor', 'Mit starkem Reflektor', 'und Sicherheitsgitter.', 'Sicher und Stabil', 'Besonders sicher mit', 'Frei', 'Hexagonvorrichtung', 'einstellbar', '5/11 Kg (Butan/Propan)', 'Kompatibel mit', 'Butan/Propan 5/11 Kg', 'Hohe Flexibilitat', '.', '<360', 'Simpler Einsatz auf Bau-.', 'stellen, Terrassen u.v.m.', 'Viel Zubehor', '11', 'Inklusive Druckminderer', 'KG', 'und robustem Schlauch', '5', 'KG', 'ca.', 'Butan/', '3,8 kw', '282g/h', 'Propan', 'Verbrauch']"
1797,"['Require 1 x E26 base bulb', 'Max 60w. Bulb Not Included', 'Matte Black Sturdy', 'Aluminum-alloy Frame', 'Dusk to Dawn Automatical', '&Sensitive Sensor', 'Thickened Transparent', 'Seeded Glass']"
1798,"['Specification:', 'Bulb Base:E26', 'Voltage:AC 110V', 'Wattage/Bulb:Max60w', 'Bulb Type:LED,CFL, Incandescent, Halogen (Bulb Not Included)', 'Material: Metal (Iron)', 'Color:Black+ Bronze']"
1799,"['0.79in/20mm', '1.38in/35mm', 'CHAKRA CHIMES', '6.1in/155mm', '6.46in/164mm', '14.96in/380mm', '2.52in64mm']"
1800,"['Musterfoto', 'Spample Photo', '20mm', 'DPATONA', '115mm', '70mm', 'Gewicht/Weight:55g']"
1801,"['110mm/4.33[in]', 'Solid ceramics socket: E27', 'Input Voltage: AC 110-220V', '90mm/3.54[in]', 'power: 100 Watts.', 'Material: Ceramic+Metal', '280mm/11.02[in]', '1.8M']"
1802,"['PRODUCTSIZE', '2.75in', '7.1 in', '2.8 in', 'In', '5.5 in']"
1803,"['Removable Lithium-lon Battery', 'Max Range', '28-45Miles', 'Charging Time', '5-6 Hours', 'Large Capacity', '36V 10Ah']"
1804,"['Le miscele degli Infusi Fruttosi Bonomelli sono', 'state sapientemente studiate per essere', 'infondibili sia a caldo sia a freddo', 'DISSETATI CON IL FREDDO', 'FREDDO', 'Porre il filtro in acqua fresca', 'Lasciare in infusione per', 'almeno7 minuti.Consumare', '500ml', 'la bevanda entro 8 ore dalla', 'per I borraccia', 'preparazione,il filtro puo', '2/3 filtri', 'in base allintensita', 'essere rimosso o lasciato', 'di gusto desiderata', 'in infusione', 'INFUSIONEA', 'INFUSIONEA', 'FREDDO', 'CALDO', 'COCCOLATI CON IL CALDO', 'CALDO', 'Porre il filtro in una tazza', 'e versare acqua bollente', '100C', 'non direttamente sul filtro.', '1filtro', 'Lasciare in infusione', 'perI tazza', 'per 3 minuti.']"
1805,"['UNjHA', 'SHIR SHULADI', '(Vajrarasa)', 'VATI', 'UNjh', 'AYURE', 'VATI', 'SHIRSHULADI', 'Mig.u', 'fRn', 'ac', '(duR)', 'MFD.BY', 'UNjHA', 'AyURVEdiC', 'UNjHA', 'PHARMACY', 'AyURVEdiC', 'PHARMACY', 'SNA384170N.']"
1806,"['58 cm', '23 cm']"
1807,"['30cm/11.81', '25cm/9.84""', '20cm/7.87""', '15cm/5.91""', '15cm/5.91""']"
1808,"['BRIZOLL', 'BRIZOLL', 'OPTIMALE GROBE', '54cm', 'fur2-4Personen', '28cm', 'oder', 'einen groBen', 'STEAK', '7cm', '2,8kG', '21cm']"
1809,"['1 Pipetta da', '0,67ml', 'Per CANI', '2-10kg']"
1810,"['1917SC', 'H8396286ECW_V1.0', 'WEI', '1 YEAR', 'ECW', 'CE', '3900mAh/14 9Wh', 'y:4000mAh/15.3Wh', '3.82V', '5', 'dCharge Voltage:4.4V', 'ion Polymer Battery2', '1241-2014', 'SM', 'Warning:', 'Do not disassemble,puncture', 'crush.heat,or bum.XYT', ' Sunwoda Electronic Co.Ltd', ' MADEN CHINA', 'Li-ion00', 'Technologies Co.Ltd', '1CP5/64/84', '3.82V3.9Ah', 'TIS2217-2548', 'Technologies (Thailand) Co..Ltd', 'IS 16046/EC62133', '4XSDSIH106', 'R-41068950', 'KC Certification number', 'XU10624-17008', 'A/S080-808-8888']"
1811,"['48w', '8cm', '150cm', '39w', '8cm', '120cm', '32w', '8cm', '100cm', '26w', '8cm', '80cm', '20w', '8cm', '60cm']"
1812,"['Compatible with all Black', 'and Decker 20V Charger', '20V', 'MAX', 'LITHIUM', '3.8Ah', '...']"
1813,"['cm', '5', '15', '240 cm']"
1814,"['BLACKWIRE', 'IDEAL FOR DECKS,PATIOS,WEDDINGS,PARTIES', 'HOLIDAYS,ETC.', 'INCLUDESREPLACEMENTPARTS', '1X', '3AMP FUSE', 'REPLACEMENT', '4X', 'BULBS', 'STAS', 'FORL', '04L9', '00967']"
1815,"['BELLA', 'CHOUID', 'ALL NATURL', 'DIETARY', 'SOPPLERDE', 'Guanapana', 'DRINK', '32FL OZ', '(946.35ML)']"
1816,"['3.15""', '3.15""', '10""']"
1817,"['ZIGBEE', '3.0', 'RGBW Controller', 'PRO', '2.4G Wireless RGBW LED Controller', 'GLEDOPTO', 'Model NO.:GL-C-007P', 'Input VoltageDC12-24-36-48-54V', 'R', 'PRO', 'Total Power270 W Max.', 'Total Output Current:5 A Max.', 'Operating Temperature:-20 to +60C', 'B', '0.33-2.08mm', 'ROHS', 'IP20', '9-10mm', '10000', 'IOS/Android', 'amazon alexa', 'WORKS WITH']"
1818,"['19CM', 'X', '8CM', '12. 5CM']"
1819,"['Product Size', 'O', '3.9in']"
1820,"['THE', 'EMSUM CEYLON TEA.NETT WT.1.76 OZ.(50GR) 25 TEA BAGS']"
1821,"['14cm(5.51in)', '14cm(5.51in)', '5cm', '(1.96in)']"
1822,"['1913', 'Valori nutrizionali medi per 100 ml di infuso', 'Zenzero Limone pronto*', '100 mlTee* enthalten durchschnittlich:', 'Energia/Brennwert', 'kJ/100ml3kJ', 'kcal/100 ml1kca', 'Grassi/Fett', 'g/100ml', '<01', 'di cui acidi grassi saturi', 'g/100 ml', '<0,1', 'davon gesattigte Fettsauren', 'Carboidrati/Kohlenhydrate g/100 ml', '<0,1', 'di cui zuccheri/davon Zucker q/100 ml', '0,1', 'Proteine/Eiweib', 'g/100 ml', '0,1', 'Sale/Salz', 'g/100 ml', '0,01', ""*I'infuso e stato preparato con 1 filtro in 200 ml di acqua"", '*ein Beutel mit 200 ml Wasser zubereitet']"
1823,"['Powful Connection', 'Z-EDGE', 'DC 24V', 'HDMI 1/2.0 HDMI 2/2.0', 'DP 1/1.2', 'DP 2/1.2', 'Audio', '(Max.60Hz)', '(Max.60Hz)', '(Max.60Hz)', '(Max.60Hz)']"
1824,"['Item No.:', 'Light source:MAX 1W LED', 'Rechargeable battery:5V/2A', 'Colour:3000K4500K6500KRGB', 'Qty:1 pcs']"
1825,"['17.7""', '70.8""', '14.8', '13.8""', '70.8""', '17.7""', '17.7', '29.5']"
